day,status,topic,title_angle,audience_need,evidence_ids,format,call_to_action,validation_signal,notes
1,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
2,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
3,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
4,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
5,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
6,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
7,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
8,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
9,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
10,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
11,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
12,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
13,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
14,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
15,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
16,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
17,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
18,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
19,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
20,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
21,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
22,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
23,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
24,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
25,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
26,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
27,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
28,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
29,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
30,DRAFT_REQUIRES_DISTILLATION,,,,,,,,
